date,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2015-04-22,91,32,59,442560,115800,558360,1,1,2
2015-04-23,97,32,65,564100,177525,741625,3,3,6
2015-04-24,72,16,56,323900,151500,475400,2,0,2
2015-04-25,53,21,32,181900,112550,294450,2,2,4
2015-04-26,46,16,30,169850,100700,270550,0,0,0
2015-04-27,85,24,61,470250,153250,623500,4,1,5
2015-04-28,100,18,82,611000,43750,654750,4,1,5
2015-04-29,64,17,47,345200,96075,441275,2,0,2
2015-04-30,74,23,51,441100,119500,560600,0,0,0
2015-05-01,63,12,51,434440,52550,486990,1,1,2
2015-05-02,62,15,47,391000,85350,476350,1,0,1
2015-05-03,46,22,24,129000,103350,232350,0,0,0
2015-05-04,52,11,41,319900,40438,360338,0,0,0
2015-05-05,92,29,63,427098,234800,661898,1,0,1
2015-05-06,99,31,68,674475,176600,851075,0,1,1
2015-05-07,93,42,51,509100,231773,740873,1,1,2
2015-05-08,73,20,53,510500,111500,622000,3,0,3
2015-05-09,100,28,72,612550,159550,772100,1,2,3
2015-05-10,91,33,58,366347,109500,475847,3,1,4
2015-05-11,96,30,66,349148,94633,443781,3,1,4
2015-05-12,110,22,88,533947,132760,666707,2,1,3
2015-05-13,110,34,76,566200,120450,686650,3,0,3
2015-05-14,114,34,80,442646,156450,599096,2,0,2
2015-05-15,117,31,86,721438,323950,1045388,3,1,4
2015-05-16,157,44,113,690450,202550,893000,2,2,4
2015-05-17,104,21,83,600400,74250,674650,3,0,3
2015-05-18,135,28,107,812548,96850,909398,3,1,4
2015-05-19,116,27,89,715000,92700,807700,3,0,3
2015-05-20,118,34,84,557400,223050,780450,2,2,4
2015-05-21,104,20,84,954750,87400,1042150,2,1,3
2015-05-22,62,20,42,358950,125899,484849,2,0,2
2015-05-23,81,22,59,385500,61025,446525,0,1,1
2015-05-24,63,16,47,308450,59350,367800,0,0,0
2015-05-25,108,35,73,481650,156800,638450,4,0,4
2015-05-26,77,19,58,439950,103430,543380,0,0,0
2015-05-27,111,33,78,715150,209300,924450,2,0,2
2015-05-28,94,22,72,480300,131800,612100,5,1,6
2015-05-29,97,19,78,518250,92100,610350,6,0,6
2015-05-30,105,44,61,302800,242100,544900,2,1,3
2015-05-31,58,19,39,277901,113200,391101,0,1,1
2015-06-01,107,36,71,632450,244000,876450,3,1,4
2015-06-02,98,31,67,561550,160405,721955,6,0,6
2015-06-03,156,46,110,971600,378240,1349840,2,1,3
2015-06-04,139,41,98,779900,200440,980340,0,0,0
2015-06-05,103,28,75,678650,201790,880440,1,1,2
2015-06-06,98,26,72,584250,163998,748248,1,0,1
2015-06-07,82,29,53,431550,170400,601950,0,1,1
2015-06-08,113,36,77,712700,173480,886180,2,0,2
2015-06-09,93,21,72,591500,111600,703100,0,0,0
2015-06-10,182,68,114,853150,344160,1197310,1,2,3
2015-06-11,112,38,74,631100,165250,796350,0,0,0
2015-06-12,128,33,95,699850,177750,877600,1,0,1
2015-06-13,96,26,70,498248,116450,614698,2,0,2
2015-06-14,79,24,55,504250,75600,579850,2,1,3
2015-06-15,124,31,93,732950,196300,929250,4,0,4
2015-06-16,95,25,70,513700,113100,626800,8,0,8
2015-06-17,103,36,67,512320,169630,681950,5,0,5
2015-06-18,116,36,80,366400,277400,643800,18,1,19
2015-06-19,79,17,62,514590,132355,646945,6,0,6
2015-06-20,118,30,88,779800,104150,883950,12,2,14
2015-06-21,109,29,80,680698,98000,778698,1,0,1
2015-06-22,117,25,92,634400,122400,756800,0,1,1
2015-06-23,88,20,68,675030,103000,778030,4,0,4
2015-06-24,79,26,53,469390,119450,588840,2,1,3
2015-06-25,127,34,93,961950,130700,1092650,1,1,2
2015-06-26,124,31,93,1077100,223575,1300675,2,0,2
2015-06-27,80,19,61,434150,94200,528350,1,1,2
2015-06-28,63,10,53,336400,32300,368700,0,0,0
2015-06-29,101,23,78,518500,135580,654080,5,0,5
2015-06-30,95,25,70,423850,92700,516550,2,3,5
2015-07-01,93,28,65,672150,144110,816260,1,0,1
2015-07-02,117,34,83,663950,159350,823300,0,0,0
2015-07-03,113,41,72,540250,164610,704860,1,0,1
2015-07-04,142,39,103,619000,276157,895157,0,0,0
2015-07-05,78,31,47,346300,164300,510600,0,1,1
2015-07-06,130,34,96,731300,204220,935520,0,1,1
2015-07-07,118,27,91,772375,130550,902925,1,0,1
2015-07-08,131,52,79,993500,381938,1375438,0,2,2
2015-07-09,259,88,171,1804180,749500,2553680,2,1,3
2015-07-10,154,62,92,1088100,509860,1597960,1,1,2
2015-07-11,244,100,144,1521147,730210,2251357,0,0,0
2015-07-12,95,42,53,752800,347500,1100300,0,0,0
2015-07-13,136,53,83,684704,467800,1152504,2,1,3
2015-07-14,121,45,76,758770,314850,1073620,2,0,2
2015-07-15,142,55,87,959500,403985,1363485,0,0,0
2015-07-16,113,29,84,959300,257300,1216600,2,0,2
2015-07-17,231,72,159,1279497,547770,1827267,1,2,3
2015-07-18,69,25,44,490500,163600,654100,0,0,0
2015-07-19,99,20,79,486000,88100,574100,0,0,0
2015-07-20,109,28,81,713150,135550,848700,1,1,2
2015-07-21,143,48,95,654300,336275,990575,4,0,4
2015-07-22,126,47,79,736350,483970,1220320,1,1,2
2015-07-23,156,55,101,674951,328370,1003321,1,1,2
2015-07-24,126,37,89,589150,187350,776500,4,0,4
2015-07-25,102,39,63,546350,209600,755950,0,5,5
2015-07-26,87,33,54,416000,220550,636550,0,2,2
2015-07-27,75,28,47,491950,198800,690750,0,0,0
2015-07-28,46,18,28,175700,117937,293637,5,0,5
2015-07-29,63,21,42,465119,117350,582469,1,1,2
2015-07-30,106,39,67,459300,312860,772160,1,0,1
2015-07-31,128,47,81,560100,361803,921903,0,0,0
2015-08-01,92,26,66,756250,130700,886950,5,1,6
2015-08-02,96,42,54,573550,346050,919600,0,0,0
2015-08-03,99,31,68,356370,199992,556362,3,0,3
2015-08-04,92,29,63,431550,108200,539750,0,0,0
2015-08-05,145,70,75,824320,977870,1802190,2,0,2
2015-08-06,98,38,60,502700,233140,735840,4,0,4
2015-08-07,105,35,70,494570,271020,765590,6,1,7
2015-08-08,96,29,67,418300,116900,535200,0,1,1
2015-08-09,64,18,46,182100,121800,303900,0,1,1
2015-08-10,93,23,70,526169,110600,636769,1,0,1
2015-08-11,76,21,55,281850,132030,413880,4,0,4
2015-08-12,73,28,45,341150,207130,548280,2,2,4
2015-08-13,99,33,66,311300,239750,551050,3,1,4
2015-08-14,111,31,80,560050,181460,741510,1,2,3
2015-08-15,47,9,38,272500,30510,303010,0,0,0
2015-08-16,62,18,44,162050,112225,274275,0,0,0
2015-08-17,73,20,53,309300,90300,399600,0,1,1
2015-08-18,149,49,100,578896,201449,780345,1,3,4
2015-08-19,192,54,138,599350,121690,721040,2,1,3
2015-08-20,189,58,131,1134900,263300,1398200,1,1,2
2015-08-21,160,52,108,616120,389850,1005970,2,3,5
2015-08-22,62,17,45,308446,44400,352846,1,0,1
2015-08-23,66,16,50,337650,18700,356350,0,0,0
2015-08-24,69,16,53,215650,77950,293600,4,1,5
2015-08-25,86,39,47,300700,213400,514100,0,1,1
2015-08-26,54,9,45,332000,62000,394000,0,0,0
2015-08-27,81,16,65,489620,71507,561127,4,1,5
2015-08-28,74,17,57,309950,51400,361350,1,0,1
2015-08-29,16,6,10,47151,10400,57551,0,0,0
2015-08-30,39,10,29,201800,39600,241400,0,0,0
2015-08-31,46,14,32,189000,31700,220700,0,0,0
2015-09-01,73,16,57,687848,80280,768128,0,1,1
2015-09-02,85,19,66,556400,140450,696850,2,2,4
2015-09-03,91,26,65,573300,88050,661350,2,0,2
2015-09-04,73,22,51,311000,153648,464648,5,0,5
2015-09-05,45,9,36,220400,50507,270907,2,0,2
2015-09-06,42,13,29,241150,48650,289800,1,0,1
2015-09-07,78,28,50,502196,115400,617596,4,1,5
2015-09-08,124,31,93,634447,148560,783007,4,0,4
2015-09-09,114,36,78,549150,152790,701940,2,2,4
2015-09-10,111,32,79,584550,151300,735850,2,1,3
2015-09-11,99,21,78,531899,132150,664049,0,0,0
2015-09-12,71,17,54,291900,52000,343900,1,0,1
2015-09-13,62,15,47,301419,30300,331719,0,0,0
2015-09-14,94,24,70,458500,55875,514375,2,0,2
2015-09-15,125,37,88,695525,179300,874825,6,0,6
2015-09-16,98,18,80,544156,132720,676876,1,1,2
2015-09-17,115,27,88,388980,138100,527080,1,1,2
2015-09-18,93,19,74,408950,70700,479650,0,1,1
2015-09-19,64,22,42,278460,52225,330685,2,2,4
2015-09-20,44,16,28,256300,71350,327650,1,0,1
2015-09-21,38,11,27,247900,51800,299700,2,0,2
2015-09-22,57,18,39,308300,78825,387125,4,0,4
2015-09-23,74,25,49,345700,145330,491030,3,1,4
2015-09-24,73,21,52,458675,100050,558725,4,0,4
2015-09-25,40,10,30,283650,68600,352250,4,0,4
2015-09-26,62,19,43,416149,62500,478649,0,2,2
2015-09-27,32,10,22,166497,46000,212497,1,0,1
2015-09-28,201,40,161,857600,167600,1025200,2,6,8
2015-09-29,296,55,241,1354999,178020,1533019,3,11,14
2015-09-30,244,63,181,1037360,209100,1246460,5,11,16
2015-10-01,1217,47,1170,1088670,138190,1226860,983,11,994
2015-10-02,736,62,674,844550,250050,1094600,542,7,549
2015-10-03,1157,32,1125,729760,76400,806160,1063,3,1066
2015-10-04,659,29,630,591100,63400,654500,589,7,596
2015-10-05,1174,48,1126,814350,249125,1063475,1038,6,1044
2015-10-06,1311,34,1277,1163240,116750,1279990,1202,10,1212
2015-10-07,1293,46,1247,996450,85900,1082350,1163,3,1166
2015-10-08,1224,53,1171,889375,152500,1041875,1082,6,1088
2015-10-09,1261,50,1211,1065350,197600,1262950,1122,12,1134
2015-10-10,1317,59,1258,1234380,253540,1487920,1163,12,1175
2015-10-11,736,37,699,629950,46100,676050,638,17,655
2015-10-12,1334,32,1302,533410,116400,649810,1236,5,1241
2015-10-13,1352,65,1287,793450,128050,921500,1218,5,1223
2015-10-14,1540,52,1488,1016650,47800,1064450,1421,24,1445
2015-10-15,1602,47,1555,1111327,116370,1227697,1451,3,1454
2015-10-16,1512,70,1442,1040610,334095,1374705,1342,7,1349
2015-10-17,1463,61,1402,1093200,594600,1687800,1298,16,1314
2015-10-18,831,18,813,489700,30150,519850,763,1,764
2015-10-19,1337,38,1299,923860,90650,1014510,1201,14,1215
2015-10-20,1498,46,1452,970250,78850,1049100,1360,5,1365
2015-10-21,1269,39,1230,1238030,106120,1344150,1151,13,1164
2015-10-22,599,23,576,336100,75382,411482,545,7,552
2015-10-23,1010,41,969,623300,152861,776161,898,14,912
2015-10-24,506,15,491,239300,39150,278450,461,3,464
2015-10-25,536,42,494,649460,142700,792160,418,5,423
2015-10-26,726,47,679,870210,130300,1000510,550,11,561
2015-10-27,805,44,761,1358350,247700,1606050,613,6,619
2015-10-28,795,94,701,1436210,313750,1749960,557,22,579
2015-10-29,717,55,662,1955830,229050,2184880,502,5,507
2015-10-30,935,42,893,1565850,89050,1654900,755,1,756
2015-10-31,991,89,902,884591,127130,1011721,811,45,856
2015-11-01,635,65,570,338300,73500,411800,504,13,517
2015-11-02,840,85,755,600025,202850,802875,698,42,740
2015-11-03,1205,133,1072,696448,182950,879398,986,27,1013
2015-11-04,1201,125,1076,854875,245040,1099915,1000,28,1028
2015-11-05,1151,141,1010,923550,171550,1095100,903,35,938
2015-11-06,1220,143,1077,572600,196490,769090,996,25,1021
2015-11-07,1181,127,1054,762175,82781,844956,973,28,1001
2015-11-08,974,114,860,497050,122930,619980,794,52,846
2015-11-09,1229,137,1092,1024400,113860,1138260,1004,31,1035
2015-11-10,857,84,773,587800,72800,660600,710,17,727
2015-11-11,268,29,239,101825,35950,137775,196,10,206
2015-11-12,557,48,509,196900,38750,235650,474,14,488
2015-11-13,440,48,392,176150,19000,195150,358,28,386
2015-11-14,193,21,172,201948,18870,220818,131,7,138
2015-11-15,497,57,440,381525,94600,476125,373,25,398
2015-11-16,812,69,743,565449,50370,615819,686,17,703
2015-11-17,814,72,742,532800,62857,595657,658,32,690
2015-11-18,552,47,505,586613,45480,632093,444,3,447
2015-11-19,771,85,686,694725,202860,897585,608,17,625
2015-11-20,667,74,593,406050,125589,531639,528,35,563
2015-11-21,642,74,568,322850,42801,365651,507,45,552
2015-11-22,498,49,449,276900,133054,409954,400,7,407
2015-11-23,898,76,822,430725,65878,496603,766,44,810
2015-11-24,626,63,563,416100,107290,523390,508,12,520
2015-11-25,607,46,561,419970,79230,499200,515,11,526
2015-11-26,775,87,688,565747,76850,642597,599,44,643
2015-11-27,627,71,556,528600,50136,578736,492,37,529
2015-11-28,658,61,597,305400,33350,338750,562,23,585
2015-11-29,523,56,467,275450,35100,310550,429,38,467
2015-11-30,915,100,815,677550,122520,800070,713,50,763
2015-12-01,969,102,867,648610,147557,796167,795,54,849
2015-12-02,989,90,899,752230,215910,968140,837,18,855
2015-12-03,701,82,619,678660,134750,813410,496,35,531
2015-12-04,545,76,469,472850,117260,590110,393,35,428
2015-12-05,788,79,709,889000,264118,1153118,629,32,661
2015-12-06,446,60,386,300860,110100,410960,342,22,364
2015-12-07,705,70,635,586450,146560,733010,572,13,585
2015-12-08,1104,107,997,777860,172025,949885,927,19,946
2015-12-09,885,122,763,785300,285700,1071000,682,49,731
2015-12-10,987,101,886,768700,114700,883400,781,39,820
2015-12-11,1198,113,1085,848350,106650,955000,1028,16,1044
2015-12-12,773,81,692,527700,63925,591625,632,18,650
2015-12-13,560,55,505,397300,87550,484850,453,18,471
2015-12-14,1112,103,1009,752300,66400,818700,945,62,1007
2015-12-15,1034,123,911,805650,178650,984300,824,67,891
2015-12-16,1010,104,906,1168000,162500,1330500,813,17,830
2015-12-17,862,100,762,1009720,159960,1169680,658,37,695
2015-12-18,1207,165,1042,1377555,335850,1713405,881,61,942
2015-12-19,1052,126,926,770040,227550,997590,803,27,830
2015-12-20,750,80,670,353460,91900,445360,629,45,674
2015-12-21,1078,101,977,614200,110400,724600,872,46,918
2015-12-22,1114,141,973,834450,284550,1119000,889,17,906
2015-12-23,1109,122,987,689245,150850,840095,916,21,937
2015-12-24,761,92,669,458975,109800,568775,613,42,655
2015-12-25,804,89,715,346550,75700,422250,659,47,706
2015-12-26,940,110,830,814000,84069,898069,771,66,837
2015-12-27,667,94,573,483100,102627,585727,505,20,525
2015-12-28,960,112,848,786475,157500,943975,749,20,769
2015-12-29,887,70,817,695025,116894,811919,740,36,776
2015-12-30,832,124,708,548200,186675,734875,627,63,690
2015-12-31,667,90,577,442800,181050,623850,511,31,542
2016-01-01,700,122,578,692125,265300,957425,398,16,414
2016-01-02,922,122,800,631630,280950,912580,555,17,572
2016-01-03,487,70,417,316430,152628,469058,297,25,322
2016-01-04,777,108,669,625480,252755,878235,478,31,509
2016-01-05,840,130,710,1211370,478560,1689930,482,13,495
2016-01-06,1170,179,991,1137138,333731,1470869,717,61,778
2016-01-07,1113,156,957,830050,402470,1232520,669,11,680
2016-01-08,1081,135,946,903555,272090,1175645,686,53,739
2016-01-09,863,101,762,558950,149685,708635,552,38,590
2016-01-10,550,72,478,711500,190550,902050,336,23,359
2016-01-11,746,105,641,728050,274325,1002375,424,15,439
2016-01-12,748,128,620,970790,254288,1225078,396,31,427
2016-01-13,1183,163,1020,1519252,322450,1841702,705,22,727
2016-01-14,999,121,878,869440,124350,993790,639,21,660
2016-01-15,999,105,894,699280,198050,897330,687,53,740
2016-01-16,1140,139,1001,1119700,228075,1347775,668,24,692
2016-01-17,552,64,488,503200,56475,559675,389,35,424
2016-01-18,975,121,854,916051,231267,1147318,639,38,677
2016-01-19,1396,197,1199,1497600,197150,1694750,885,70,955
2016-01-20,1109,191,918,1523480,635478,2158958,622,46,668
2016-01-21,981,190,791,1560451,592066,2152517,480,43,523
2016-01-22,899,139,760,1451320,511440,1962760,481,13,494
2016-01-23,610,80,530,712300,159000,871300,333,29,362
2016-01-24,627,82,545,365180,188725,553905,415,33,448
2016-01-25,785,132,653,866500,111150,977650,425,34,459
2016-01-26,223,39,184,409925,222400,632325,103,6,109
2016-01-27,1162,158,1004,1353575,225500,1579075,709,44,753
2016-01-28,1028,149,879,1048600,250024,1298624,609,47,656
2016-01-29,1240,168,1072,714125,538050,1252175,813,39,852
2016-01-30,994,168,826,1094568,669450,1764018,599,38,637
2016-01-31,730,81,649,615199,229325,844524,460,21,481
2016-02-01,1298,128,1170,870425,164645,1035070,824,41,865
2016-02-02,1387,173,1214,1753849,427452,2181301,838,14,852
2016-02-03,1553,203,1350,1266500,632100,1898600,969,24,993
2016-02-04,1492,184,1308,1297770,383073,1680843,981,50,1031
2016-02-05,1566,178,1388,1346385,284297,1630682,1038,74,1112
2016-02-06,1612,182,1430,697974,259925,957899,1146,58,1204
2016-02-07,852,80,772,666350,138400,804750,579,27,606
2016-02-08,1312,139,1173,1037175,159503,1196678,876,60,936
2016-02-09,1855,181,1674,1233023,217000,1450023,1343,74,1417
2016-02-10,1704,177,1527,914000,338010,1252010,1147,66,1213
2016-02-11,2128,244,1884,1242300,410525,1652825,1418,76,1494
2016-02-12,1794,173,1621,1077990,311643,1389633,1229,53,1282
2016-02-13,1189,109,1080,580525,233325,813850,808,30,838
2016-02-14,1171,120,1051,450500,210800,661300,813,50,863
2016-02-15,1547,148,1399,692550,152500,845050,1019,56,1075
2016-02-16,1526,165,1361,950425,176630,1127055,1007,18,1025
2016-02-17,1797,210,1587,985200,485200,1470400,1157,65,1222
2016-02-18,1622,241,1381,794053,421775,1215828,976,57,1033
2016-02-19,1319,157,1162,853100,255100,1108200,845,40,885
2016-02-20,1222,115,1107,832900,158350,991250,872,38,910
2016-02-21,797,92,705,372350,168100,540450,571,34,605
2016-02-22,1155,114,1041,869250,189785,1059035,772,38,810
2016-02-23,1300,142,1158,1249550,227475,1477025,868,49,917
2016-02-24,1561,170,1391,1327851,203650,1531501,1023,52,1075
2016-02-25,1495,153,1342,1076860,506894,1583754,983,58,1041
2016-02-26,1407,154,1253,1022500,256091,1278591,958,29,987
2016-02-27,1088,102,986,758050,184750,942800,749,19,768
2016-02-28,821,97,724,519190,148475,667665,571,40,611
2016-02-29,1268,100,1168,700330,227381,927711,841,46,887
2016-03-01,1478,181,1297,1019300,300100,1319400,960,61,1021
2016-03-02,1634,221,1413,1999862,687150,2687012,975,30,1005
2016-03-03,1435,212,1223,1529240,481325,2010565,903,22,925
2016-03-04,1450,168,1282,1159200,267090,1426290,969,27,996
2016-03-05,1096,134,962,1137675,271300,1408975,674,40,714
2016-03-06,586,88,498,575360,98800,674160,365,32,397
2016-03-07,898,132,766,1232650,836200,2068850,522,39,561
2016-03-08,1552,182,1370,1576371,430540,2006911,1003,72,1075
2016-03-09,1517,196,1321,1435050,478750,1913800,964,67,1031
2016-03-10,1147,133,1014,1443750,375200,1818950,719,25,744
2016-03-11,962,125,837,1210225,290345,1500570,545,26,571
2016-03-12,725,95,630,778800,256850,1035650,443,25,468
2016-03-13,777,95,682,796000,179340,975340,491,31,522
2016-03-14,1265,151,1114,1065848,332850,1398698,807,30,837
2016-03-15,1348,171,1177,1160650,289050,1449700,870,17,887
2016-03-16,1579,188,1391,1197396,377590,1574986,1050,51,1101
2016-03-17,1479,166,1313,965600,243010,1208610,1010,63,1073
2016-03-18,1477,161,1316,973050,374948,1347998,1044,29,1073
2016-03-19,961,120,841,951430,411400,1362830,597,44,641
2016-03-20,945,96,849,676138,158634,834772,677,33,710
2016-03-21,1340,145,1195,1193900,257855,1451755,893,28,921
2016-03-22,1145,115,1030,1077600,150451,1228051,791,41,832
2016-03-23,1142,157,985,838300,269249,1107549,774,56,830
2016-03-24,776,49,727,192500,27200,219700,623,11,634
2016-03-25,1540,143,1397,1234000,102100,1336100,1125,78,1203
2016-03-26,1166,140,1026,718150,145100,863250,767,54,821
2016-03-27,606,87,519,677649,143500,821149,355,22,377
2016-03-28,1249,163,1086,945800,189400,1135200,823,21,844
2016-03-29,1678,216,1462,723900,298860,1022760,1163,78,1241
2016-03-30,1698,251,1447,1135300,573184,1708484,1161,36,1197
2016-03-31,1725,199,1526,1132750,173700,1306450,1253,29,1282
2016-04-01,1602,168,1434,970150,187150,1157300,1135,83,1218
2016-04-02,1506,163,1343,1257850,294850,1552700,974,54,1028
2016-04-03,703,82,621,396075,82450,478525,463,32,495
2016-04-04,1302,156,1146,1380648,276021,1656669,795,57,852
2016-04-05,1667,186,1481,1637440,184740,1822180,1147,63,1210
2016-04-06,1735,234,1501,1123400,338300,1461700,1128,28,1156
2016-04-07,2130,223,1907,1441296,290820,1732116,1552,39,1591
2016-04-08,1470,118,1352,794050,115700,909750,1075,44,1119
2016-04-09,1756,222,1534,928450,182460,1110910,1248,101,1349
2016-04-10,861,111,750,552270,137900,690170,533,25,558
2016-04-11,1562,187,1375,1003900,244200,1248100,983,69,1052
2016-04-12,1717,229,1488,1395700,394925,1790625,1115,88,1203
2016-04-13,1984,203,1781,963150,280000,1243150,1411,88,1499
2016-04-14,1586,146,1440,812527,230450,1042977,1063,50,1113
2016-04-15,1128,146,982,652731,202025,854756,727,24,751
2016-04-16,1137,121,1016,828300,204500,1032800,803,42,845
2016-04-17,867,99,768,371019,96677,467696,618,45,663
2016-04-18,1195,138,1057,620549,299700,920249,764,54,818
2016-04-19,1294,175,1119,2798411,202900,3001311,869,31,900
2016-04-20,1338,132,1206,1052750,295201,1347951,906,54,960
